"city","time","temp","humidity","weather_description","wind_speed","clouds","precipitation_prob","rain","partition_id"
"Atlanta","2025-08-24 06:00:00","71.51","93","few clouds","5.08","11","0.88",,"forecast"
"Atlanta","2025-08-22 18:00:00","75.38","61","light rain","7.63","77","1.0","2.39","forecast"
"Atlanta","2025-08-25 09:00:00","72.59","70","clear sky","6.93","0","0.0",,"forecast"
"Atlanta","2025-08-24 18:00:00","88.57","41","scattered clouds","1.52","30","0.0",,"forecast"
"Atlanta","2025-08-24 06:00:00","71.49","93","overcast clouds","6.49","96","0.18",,"forecast"
"Atlanta","2025-08-25 09:00:00","71.82","73","clear sky","8.1","0","0.0",,"forecast"
"Atlanta","2025-08-24 18:00:00","88.27","41","clear sky","2.59","10","0.0",,"forecast"
"Atlanta","2025-08-24 06:00:00","72.05","85","scattered clouds","5.53","47","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","71.37","41","scattered clouds","9.01","40","0.0",,"forecast"
"Atlanta","2025-08-26 03:00:00","76.17","40","overcast clouds","10.33","99","0.0",,"forecast"
"Atlanta","2025-08-23 18:00:00","80.19","67","light rain","7.74","87","1.0","1.47","forecast"
"Atlanta","2025-08-22 21:00:00","77.56","80","moderate rain","4.43","100","1.0","4.25","forecast"
"Atlanta","2025-08-25 12:00:00","68.88","68","clear sky","7.56","0","0.0",,"forecast"
"Atlanta","2025-08-25 21:00:00","89.91","23","clear sky","11.12","2","0.0",,"forecast"
"Atlanta","2025-08-24 03:00:00","74.08","85","scattered clouds","6.26","36","0.0",,"forecast"
"Atlanta","2025-08-23 18:00:00","78.75","76","moderate rain","6.93","63","1.0","3.09","forecast"
"Atlanta","2025-08-24 15:00:00","79.25","62","light rain","2.77","37","0.27","0.14","forecast"
"Atlanta","2025-08-22 15:00:00","73.74","68","light rain","7.92","76","0.54","0.43","forecast"
"Atlanta","2025-08-26 12:00:00","69.28","41","overcast clouds","4.38","100","0.0",,"forecast"
"Atlanta","2025-08-22 21:00:00","78.22","79","moderate rain","8.16","99","1.0","5.76","forecast"
"Atlanta","2025-08-24 18:00:00","87.19","47","light rain","2.17","47","0.38","0.19","forecast"
"Atlanta","2025-08-24 15:00:00","79.81","58","scattered clouds","2.71","50","0.0",,"forecast"
"Atlanta","2025-08-25 06:00:00","74.95","77","broken clouds","6.64","75","0.83",,"forecast"
"Atlanta","2025-08-23 12:00:00","70.68","94","overcast clouds","6.35","97","0.0",,"forecast"
"Atlanta","2025-08-22 09:00:00","70.63","88","scattered clouds","3.78","49","0.0",,"forecast"
